 Name,RA,Decl,Gal.  long. [deg],Gal.  lat. [deg],Flux  (max) [C.U.],Radius [arc min],Counterpart or  other name(s),Publication(s),SOM
 HESS J1555+111,238.9295833,11.19, 21.91, 43.96, 0.02, 0, PG 1553+11, A&A 448 (2006) L19;  A&A 477 (2008) 481, 2006-02; 2017-01
 HESS J1104+382,166.11375,38.20888889, 179.83, 65.03, 3, 0, Mkn 421, A&A 437 (2005) 95, 2005-10
 HESS J0534+220,83.63333333,22.01444444, 184.56, -5.78, 1, 0, Crab Nebula, A&A 457 (2006) 899;  A&A 562 (2014) L4, 2004-10; 2012-12; 2017-10
 HESS J1420-607,215.05,-60.75888889, 313.56, 0.27, 0.07, 3.6, PSR J1420-6048 ?  (Kookaburra), A&A 456 (2006) 245, 2006-04
 HESS J1418-609,214.51,-60.97, 313.25, 0.16, 0.06, 4.2, G313.3+0.1  (Rabbit), A&A 456 (2006) 245, 2006-04
 HESS J1427-608,216.9666667,-60.85, 314.41, -0.15, 0.035, 4.8,, A&A 477 (2008) 353, 2013-05
 HESS J1626-490,246.5166667,-49.08694444, 334.77, 0.05, 0.13, 6,, A&A 477 (2008) 353, 2010-09
 HESS J1731-347,262.9791667,-34.71, 353.57, -0.62, 0.16, 10.8,," A&A 477 (2008) 353, A&A 531 (2011) A81", 2009-03; 2010-10
 HESS J1857+026,284.2958333,2.666666667, 35.96, -0.06, 0.16, 6.6,, A&A 477 (2008) 353, 2008-07
 HESS J1858+020,284.5833333,2.09, 35.58, -0.58, 0.016, 4.8, G35.6-0.4 ?, A&A 477 (2008) 353, 2010-01
 HESS J1809-193,272.3379167,-19.45, 10.92, 0.08, 0.14, 32, PSR J1809-1917 ?, A&A 472 (2007) 489, 2009-01
 HESS J1023-575,155.825,-57.76388889, 284.19, -0.39, 0.12, 11, WR 20a;  Westerlund 2;  RCW 49, A&A 467 (2007) 1075;  A&A 525 (2011) A46, 2006-12; 2010-04
 HESS J1356-645,209,-64.5, 309.81, -2.49, 0.11, 12, PSR J1357-6429, ICRC 2007 [arXiv:0710.4057];  AIP Conf. Proc. 1085 (2008) 285;  A&A 533 (2011) A103, 2013-07
 HESS J1442-624,220.6791667,-62.445, 315.41, -2.30, 0.1, 24, RCW 86, ICRC 2007 [arXiv:0709.4103];  ApJ 692 (2009) 1500;  A&A (http://dx.doi.org/10.1051/0004-6361/201526545) [arXiv:1601.04461], 2007-07; 2016-02
 HESS J1818-154,274.52,-15.46694444, 15.41, 0.16, 0.013,0, G15.4+0.1," ICRC 2011, A&A 562 (2014) A40", 2011-08
