NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC160812A,128334,9739548,25:10.9,57612.68415,gfu-bronze,86.99,48.83,15.29,15.29,9.95,10,160,0.22,0.527,3.88E-13,2.88E-08,1.09E-09,2.94E-06,1,FALSE
IC160814A,128340,58537957,45:54.1,57614.90688,hese-gold,200.04,-32.13,3.12,2.68,1.75,1.24,263,0.56,0.607,8.24E-07,1.37E-09,1,4.48E-10,5.41E-07,FALSE
IC160924A,128547,14557367,47:08.2,57655.74107,gfu-gold,241.13,1.34,4.92,5.89,3.4,2.8,191,1.25,0.508,6.55E-09,2.45E-08,7.52E-05,1.80E-05,1,FALSE
IC161001A,128567,21044380,32:23.9,57662.43917,gfu-gold,192.57,37.12,2.5,2.07,1.51,2.49,204,0.35,0.639,6.18E-08,7.99E-09,0.981,1.73E-07,0.0192,FALSE
IC161012A,128606,54200591,42:06.6,57673.61258,gfu-gold,190.06,-7.48,2.2,4.04,2.18,2.98,759,0.9,0.252,4.73E-07,5.29E-07,0.0161,4.06E-05,0.984,FALSE
IC161021A,128632,62194858,25:17.9,57682.30924,gfu-bronze,121.42,23.72,2.64,2.9,1.93,2.02,135,1.42,0.434,3.52E-12,3.59E-09,8.20E-09,7.37E-06,1,FALSE
IC161027A,128651,44166050,40:21.2,57688.56969,gfu-bronze,119,1.53,2.94,2.24,2.32,2.39,155,2.31,0.376,6.32E-05,1.51E-05,0.896,0.00324,0.101,FALSE
IC161103A,128672,38561326,07:31.1,57695.38022,hese-bronze,40.87,12.52,1.05,0.57,1.15,0.61,85,1.38,0.311,2.11E-07,3.51E-06,0.0185,0.00046,0.981,FALSE
IC161117A,128755,32356079,58:04.2,57709.33199,gfu-gold,78.66,1.6,1.85,1.93,1.9,1.79,190,1.27,0.504,2.16E-08,1.86E-08,3.55E-05,6.97E-05,1,FALSE
IC161125A,128785,76992952,19:24.4,57717.43014,gfu-bronze,140.01,-0.11,2.15,1.19,0.75,0.86,161,1.94,0.403,3.21E-09,5.74E-08,9.83E-07,9.30E-06,1,FALSE
IC161127A,128796,26367207,57:14.4,57719.66475,gfu-bronze,257.55,73.27,36.46,29.23,5.71,9.96,139,0.35,0.453,0.000453,1.90E-07,1,5.71E-09,2.57E-07,FALSE
IC161210A,128906,80127519,06:40.3,57732.83797,ehe-gold,46.36,15.25,2.37,0.92,0.93,1.08,80,1.97,0.38,1.67E-05,7.31E-06,0.236,0.000393,0.763,FALSE
IC161224A,128967,17750653,53:48.2,57746.53736,gfu-bronze,61.79,17.78,2.5,2.37,1.46,1.56,139,1.93,0.417,1.90E-07,1.52E-06,0.585,3.54E-07,0.415,FALSE
IC170105A,129020,20626582,24:22.1,57758.14192,gfu-gold,309.95,8.16,5.01,7.56,2,3.34,198,1.05,0.535,3.49E-09,3.44E-08,0.0105,1.05E-05,0.989,FALSE
IC170206A,129144,66284903,10:32.4,57790.54899,gfu-bronze,180.35,33.2,5.23,3.82,1.85,2.16,135,0.91,0.462,4.82E-13,4.68E-09,1.91E-07,1.39E-08,1,FALSE
